metric,mean,std,median,min,max,n,mean_pm_std
FA_MAE,0.17836261751375393,0.008267780257908615,0.17890245283659773,0.169838148152741,0.18634725155192305,3,0.178363 ± 0.00826778
FA_RMSE,0.2490108749894576,0.010399493289160988,0.25004348921468783,0.2381335958390608,0.2588555399146241,3,0.249011 ± 0.0103995
FA_r,0.24724453968417137,0.04068276655514629,0.22899281619240314,0.2188838246756284,0.29385697818448264,3,0.247245 ± 0.0406828
MD_MAE,0.000220839998364336,3.0049250192710628e-05,0.00022825945633501806,0.0001877760334034142,0.0002464845053545758,3,0.00022084 ± 3.00493e-05
MD_RMSE,0.0003961357615951308,5.32560916901134e-05,0.0004068601019563652,0.000338333600043728,0.0004432135827852991,3,0.000396136 ± 5.32561e-05
MD_r,0.574045365213381,0.04512549057436057,0.5885562326731729,0.5234495814185632,0.6101302815484069,3,0.574045 ± 0.0451255
AD_MAE,0.0003165482053193191,2.8027110464272313e-05,0.00030714320019276635,0.0002944332074415838,0.0003480682083236071,3,0.000316548 ± 2.80271e-05
AD_RMSE,0.0005354030413145368,5.492289810808047e-05,0.0005593239049523583,0.0004725764228024391,0.0005743087961888131,3,0.000535403 ± 5.49229e-05
AD_r,0.4515576731205558,0.14185393645987268,0.46720953033019824,0.30252691523012437,0.5849365738013448,3,0.451558 ± 0.141854
RD_MAE,0.00025274286719412453,2.98022348476074e-05,0.00026564217374598024,0.00021866389760792792,0.0002739225302284655,3,0.000252743 ± 2.98022e-05
RD_RMSE,0.00039594393999824564,5.742367599402913e-05,0.00041496514627611215,0.0003314231210038154,0.00044144355271480944,3,0.000395944 ± 5.74237e-05
RD_r,0.5848140762094122,0.027728218816107795,0.5946000475368225,0.5535197611739068,0.6063224199175072,3,0.584814 ± 0.0277282
DWI_MAE,436.17877140783713,16.275379037501786,440.0521959006875,418.31612434307266,450.1679939797513,3,436.179 ± 16.2754
DWI_RelMSE,0.08812505022571875,0.013885465849664373,0.08994544323037859,0.07341917364433384,0.10101053380244382,3,0.0881251 ± 0.0138855
final_loss,0.1572435593194856,0.0,0.1572435593194856,0.1572435593194856,0.1572435593194856,3,0.157244 ± 0
best_loss,0.11676073461789997,0.0,0.11676073461789997,0.11676073461789997,0.11676073461789997,3,0.116761 ± 0
training_time_sec,468.5523202419281,0.0,468.5523202419281,468.5523202419281,468.5523202419281,3,468.552 ± 0
