pair,anchor_subject,alpha,mean_S0,std_S0,mean_FA,std_FA,mean_MD,std_MD,mean_AD,std_AD,mean_RD,std_RD,signal_relmse,psnr,fa_mae_vs_wls,md_mae_vs_wls
101309->102715,101309,0.0,3371.2628014818238,1468.1007321576928,0.10684197359027954,0.12812965944566337,0.0008122045322630461,0.0003095061574840156,0.0009165830242289865,0.0005496133285012534,0.0007600152874129362,0.00027756383964960395,0.20619051905274519,8.015809588512631,0.1933849180082937,0.0001869592561046054
101309->102715,101309,0.25,3541.4290655877526,1363.5738719181907,0.10625826212627361,0.1154576176747787,0.0008243268349705147,0.00028738101155061487,0.0009291641515092321,0.0004982686753291152,0.0007719081777853013,0.0002600724949446603,53.897326949259266,-16.157175760322215,0.18802485879395928,0.00020042414813960984
101309->102715,101309,0.5,3625.550548220101,1333.4048115770352,0.11185569029512339,0.11501421555481912,0.0008193966718988093,0.00027353813595448783,0.0009247038684208162,0.0004447335852808889,0.0007667430745978553,0.0002534221015577988,876.3885335050787,-28.268470359518382,0.18354269936997913,0.0002157167263082658
101309->102715,101309,0.75,3652.8829865379107,1348.4923455068051,0.11830797485340595,0.11627164308320008,0.0008117367569510231,0.000260275030713655,0.0009183537826100853,0.00039053354966071363,0.0007584282451551275,0.00024899933947326294,2910.3567148001457,-33.48096571834973,0.17956243729174515,0.00022230175463885696
101309->102715,101309,1.0,3662.9715732344002,1385.3055280103824,0.12491026117732189,0.11853645304398243,0.0008069175708365408,0.00025233785313172325,0.0009155221121572548,0.0003406170718344739,0.0007526153012045006,0.00024961102947118955,4007.7701436276143,-34.870531548689286,0.17643737390795478,0.00022626383296874095
101309->103515,101309,0.0,3371.2628014818238,1468.1007321576928,0.10684197359027954,0.12812965944566337,0.0008122045322630461,0.0003095061574840156,0.0009165830242289865,0.0005496133285012534,0.0007600152874129362,0.00027756383964960395,0.20619051905274519,8.015809588512631,0.1933849180082937,0.0001869592561046054
101309->103515,101309,0.25,3357.081774820132,1487.4068869514688,0.10507346739315025,0.1189773506912107,0.0008035805781143003,0.00030339943728470117,0.000900626329571416,0.00048685082504368565,0.0007550577035779095,0.0002799796870983631,66.07718345875772,-17.04201872145472,0.19059982970891018,0.00019758812128070624
101309->103515,101309,0.5,3321.1940349482825,1541.2211500935455,0.10599523849468664,0.11752321025761124,0.000788767332312455,0.0003040688767979962,0.0008773154216014776,0.0004148995944882916,0.0007444932886775664,0.0002916960330579177,566.7274624796459,-26.375246074430652,0.18989505942655202,0.00021626423196255005
101309->103515,101309,0.75,3258.5876288813206,1602.5186657965912,0.10906157132527741,0.12181813762905584,0.0007719015392586724,0.0003179068805077329,0.0008536285373160277,0.00037226157679984707,0.0007310380412118343,0.0003116174257703978,1072.9397778602947,-29.147256957476017,0.1901238578986021,0.00023577726446127878
101309->103515,101309,1.0,3182.831644211928,1672.6450174351717,0.11333919860541847,0.12862151413040532,0.0007556127128796509,0.00033933518359788816,0.0008332019184090089,0.0003682682437444101,0.0007168181110545651,0.0003338353149389849,2112.3285154517835,-32.089118111002975,0.19107083478418996,0.00025841367954958396
