name,lambda_DTI,lambda_z,PSNR,FA_MAE,latent_norm,mean_D_fro_error_vs_wls
z0,,,-14.721499063347508,0.17340725400929372,0.0,0.0007727638114817885
phase5_signal,,,-2.597134608204725,0.17999496941880141,0.36324456334114075,0.0007932474663061984
phase5_dti_oracle,,,-18.549147018249784,0.16399892760847987,1.1266764402389526,0.0007445807077974063
6A_ldti0,0.0,0.0,-2.78277014649229,0.17992108815809194,0.3611578941345215,0.0007930654289342982
6A_ldti0.001,0.001,0.0,-0.6183958982109272,0.18082248101766712,0.4061683118343353,0.0007958669469974058
6A_ldti0.01,0.01,0.0,-0.6187294869548478,0.1808223393581627,0.4061644375324249,0.0007958661297222377
6A_ldti0.1,0.1,0.0,-0.6223767481764947,0.1808207299581513,0.4061145484447479,0.0007958576696622064
6A_ldti1,1.0,0.0,-0.6623802645363732,0.18080369969037416,0.40549761056900024,0.0007957593769018761
6A_ldti10,10.0,0.0,-1.040671197562949,0.18063660606478907,0.40307068824768066,0.0007948598665303176
6B_ldti0.01_lz0.001,0.01,0.001,-0.6187816823176286,0.1808223120173257,0.40616297721862793,0.0007958660484611569
6B_ldti0.01_lz0.01,0.01,0.01,-0.6191961803067978,0.18082211895921427,0.4061504304409027,0.0007958653999729367
6B_ldti0.01_lz0.1,0.01,0.1,-0.6244774552945138,0.18081959619850257,0.4060022830963135,0.0007958566917257455
6B_ldti0.1_lz0.001,0.1,0.001,-0.6224264149171183,0.18082070521435697,0.40611305832862854,0.0007958575817982686
6B_ldti0.1_lz0.01,0.1,0.01,-0.623061385218554,0.1808204056698787,0.40609505772590637,0.000795856435347416
6B_ldti0.1_lz0.1,0.1,0.1,-0.6278748762056148,0.18081807363737484,0.4059554636478424,0.0007958485415005195
6B_ldti1_lz0.001,1.0,0.001,-0.6624363459244607,0.18080367557204857,0.40549615025520325,0.0007957592855537363
6B_ldti1_lz0.01,1.0,0.01,-0.6628406332410801,0.1808034791162067,0.40548351407051086,0.0007957586248914926
6B_ldti1_lz0.1,1.0,0.1,-0.6668091186305194,0.18080158365436122,0.4053610563278198,0.0007957522952868637
