iteration,latent_norm,observed_PSNR,observed_RelMSE,observed_MSE,holdout_PSNR,holdout_RelMSE,holdout_MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_delta_D_fro_vs_z0,n_observed_vols,n_holdout_vols,n_total_vols,subject_id,sampling_fraction
0,0.0,-27.870496742233474,199.32514701128255,612.4204358332144,-22.724728486257973,45.4678545338805,187.27199999942047,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,15,11,26,106319,0.25
10,0.020345818251371384,-27.66633546205039,190.17173339568157,584.2968516298085,-22.501425488410767,43.18910079929272,177.88631919795642,0.17362954232128272,0.00033251153805418656,0.00044559476035056816,0.00034861863962277323,0.0007730867373692831,9.916561160061713e-06,15,11,26,106319,0.25
50,0.0621153898537159,-27.15392186830453,169.0069661103819,519.2687495587835,-21.905708326754933,37.65324810215625,155.08537077136143,0.1741426833417376,0.0003332722242830153,0.0004470168111778196,0.00034939012085094897,0.0007742527117917507,3.2398617358522916e-05,15,11,26,106319,0.25
100,0.10973432660102844,-26.066874982718865,131.58304040027298,404.284879045559,-20.70632923176202,28.566993530188373,117.66110513049311,0.1750055949296476,0.00033410907745639153,0.0004510162319306187,0.0003495869238498703,0.000777309540884129,5.957887914103104e-05,15,11,26,106319,0.25
200,0.20745344460010529,-23.503730883161445,72.92652290945463,224.06451776744998,-17.11946709469197,12.50772496036706,51.51654268237366,0.17679036559093525,0.00033605021084706817,0.00045815235016117634,0.0003505915439172103,0.0007829846277739051,0.00011004380323542268,15,11,26,106319,0.25
500,0.36609917879104614,-14.549339202379874,9.277828473031102,28.505845058867028,-7.521748699450237,1.372165460263958,5.651644941422871,0.1800048876945133,0.0003404966101315689,0.0004714322603464242,0.00035345317439986325,0.0007950268686383992,0.00018519587104818435,15,11,26,106319,0.25
1000,0.4918974041938782,-4.5470156935939405,0.9272866091217243,2.8490598292070257,-0.45058634535105113,0.2693334212309781,1.1093245761800168,0.1834437360147494,0.00034624858289727787,0.0004850946214420302,0.0003578289291319148,0.0008096783106478194,0.0002399178987121559,15,11,26,106319,0.25
0,0.0,-24.13868094021973,248.07112145950313,259.3391565312706,-17.76044402057845,55.89745343539623,59.70963303033533,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,32,22,54,106319,0.5
10,0.013340812176465988,-24.102873664870682,246.03420113828227,257.2097139951185,-17.717086338548505,55.342178989889526,59.11648913316929,0.17340396060168417,0.0003324120472184956,0.00044497373233851707,0.00034857954729006967,0.000772790934721445,3.946333387863454e-06,32,22,54,106319,0.5
50,0.04690069705247879,-23.872870687069824,233.3432189679369,243.9422744308238,-17.410151272954344,51.5659173367002,55.08268824098624,0.17360982700907912,0.00033298934445617377,0.0004450284831234809,0.00034943362418587753,0.0007730646066282259,2.19475023119716e-05,32,22,54,106319,0.5
