iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,nan,nan,nan,nan,signal,0.0,0.0,106319,0.5
10,0.010289322584867477,-16.247244211468576,74.07867576382843,-10.833742393025425,29.666461011855866,0.17335832499452855,0.0003323646125254163,0.0004448958890250009,0.0003485209281790518,0.0007727617735407709,2.330460220237636e-06,63,45,14.935843467712402,5.840728282928467,0.04512885585427284,9.237225458491594e-05,signal,0.0,0.0,106319,0.5
50,0.03927743434906006,-15.908369458355613,68.51816680433194,-10.39235829232258,26.79953948032138,0.17364175408109497,0.0003328897132725326,0.0004455286290535846,0.00034913617629806176,0.0007733790403298095,1.6768600857721555e-05,63,45,1.1878572702407837,0.4588570296764374,0.042300231754779816,0.0014701045583933592,signal,0.0,0.0,106319,0.5
100,0.06483528017997742,-15.611838454461429,63.99597124050508,-9.816053697955196,23.46912357931576,0.17416812813259544,0.0003334002287997384,0.0004477752278899869,0.0003492832976398973,0.0007750977646437346,3.143176548633394e-05,63,45,5.7948384284973145,2.2241737842559814,0.044412970542907715,0.004170163534581661,signal,0.0,0.0,106319,0.5
200,0.15110057592391968,-14.815520641381465,53.2746804286406,-6.895978884693172,11.980898542870614,0.17582296277486997,0.00033521793251098565,0.000453634045511847,0.000350600202752071,0.0007795820806018542,8.311858078266878e-05,63,45,4.813185691833496,1.540128231048584,0.04641377180814743,0.022392332553863525,signal,0.0,0.0,106319,0.5
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,nan,nan,nan,nan,directional,0.0,0.0,106319,0.5
10,0.02074022963643074,-16.019542242927955,70.29476985787316,-10.502609413948127,27.488588714362418,0.17366650624070654,0.0003324653410991037,0.00044579080757819556,0.0003485113044704934,0.0007731775511541906,1.0070905781591072e-05,63,45,14.954999923706055,5.841589450836182,0.0452737919986248,0.000376789626898244,directional,0.0,0.0,106319,0.5
50,0.06313098222017288,-15.615299188671855,64.04698761800266,-9.725394872819308,22.984284529661547,0.17429285861096586,0.00033302585302333375,0.0004476184394486494,0.00034894736388308117,0.00077434654246316,3.28641997222628e-05,63,45,1.109267234802246,0.41738155484199524,0.04253477603197098,0.003858675016090274,directional,0.0,0.0,106319,0.5
100,0.13038845360279083,-15.070177892927585,56.49195160667379,-7.621465549131138,14.159178503927613,0.17540819752209363,0.00033371788186710324,0.00045256833061545573,0.0003488196637585137,0.0007777981997977172,6.754418348094458e-05,63,45,5.702347755432129,2.160597085952759,0.04546891897916794,0.01672741211950779,directional,0.0,0.0,106319,0.5
200,0.1868661791086197,-14.468445825447084,49.18281381201375,-4.976313214320067,7.7005691201788204,0.17653639508517857,0.0003350782132243775,0.00045616238063599486,0.0003499700298177922,0.0007806920878691989,9.841281123152701e-05,63,45,1.9898196458816528,0.5465944409370422,0.04682881012558937,0.03481301665306091,directional,0.0,0.0,106319,0.5
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,nan,nan,nan,nan,angular,0.0,0.0,106319,0.5
10,0.03827314451336861,-16.455367875400718,77.71512979130654,-11.234121763587591,32.531469263315955,0.17292333990691255,0.0003321730113601412,0.00044265967757008715,0.00034888232066689344,0.0007711719029501235,1.809016431010127e-05,63,45,14.900779724121094,5.831754684448242,0.044576678425073624,0.0011934589128941298,angular,0.0,0.0,106319,0.5
50,0.1772848218679428,-16.82977211804395,84.71220785682635,-12.062242879931041,39.36550163168317,0.17161664595125067,0.00033206405270604805,0.00043452758275123397,0.00035102562527881655,0.000765860465008753,7.357618311411575e-05,63,45,1.3742424249649048,0.5321462154388428,0.04045546054840088,0.03026275336742401,angular,0.0,0.0,106319,0.5
100,0.34465551376342773,-16.91903866091804,86.47143281401219,-12.423271646785226,42.77782176885564,0.1706837196031757,0.00033321565554859765,0.0004270697118561146,0.00035433928693466094,0.0007617310128675442,0.00013164790661322883,63,45,5.9270172119140625,2.317416191101074,0.03966553509235382,0.11663249135017395,angular,0.0,0.0,106319,0.5
200,0.6037672758102417,-16.716553302194093,82.53233253266431,-12.471077064626641,43.251304274650096,0.1699807541389283,0.00034080791775584435,0.0004248707997155239,0.00036260161210955,0.0007647608840684261,0.00021767235572780184,63,45,563.0570068359375,170.4554901123047,0.03724430128931999,0.3621353507041931,angular,0.0,0.0,106319,0.5
