iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-17.735472002074985,88.33038214855918,59.367286653315674,-10.857478865965707,30.306551153446964,12.182821655035813,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,106319,0.25,signal,0.0,0.0,,,,,
10,0.010380687192082405,-17.7366471657633,88.35428682783196,59.38335310646828,-10.871585031365285,30.405148829034395,12.222456580540893,0.17334774477342305,0.00033235392902822476,0.00044485959320926776,0.00034851476305258603,0.0007727343491698526,2.3476537579995762e-06,40,68,106319,0.25,signal,0.0,0.0,20.18296241760254,84.80030059814453,0.04458484798669815,9.359817340737209e-05,20.18296241760254
50,0.03776223585009575,-17.452885432571545,82.76590199170863,55.62737202243776,-10.50149793101432,27.921479283086065,11.224055179631545,0.173571493760126,0.0003328357114859925,0.00044529939759712327,0.0003491095617249158,0.0007732253719218847,1.542323589228072e-05,40,68,106319,0.25,signal,0.0,0.0,1.6186999082565308,12.317744255065918,0.04148765280842781,0.0013594713527709246,1.6186999082565308
100,0.0614834800362587,-17.15574168722957,77.2924507432398,51.948638371039216,-9.956517242852982,24.628635694004004,9.900376811195613,0.1740877660129459,0.00033330898082950517,0.00044756403366837794,0.00034919169929867626,0.0007749578844489434,2.8512365216787847e-05,40,68,106319,0.25,signal,0.0,0.0,7.861791133880615,51.24534225463867,0.0440000519156456,0.0037460862658917904,7.861791133880615
200,0.13835300505161285,-16.646586121351852,68.74189835052529,46.201769823717335,-7.382035634056502,13.614202115900262,5.472724214439683,0.17559064943118483,0.00033487441702666145,0.00045318710645781817,0.0003501757634510273,0.0007792261241554915,7.62090340162267e-05,40,68,106319,0.25,signal,0.0,0.0,11.794851303100586,2.7441651821136475,0.0460817925632,0.018725836649537086,11.794851303100586
500,0.28032198548316956,-12.09621542220769,24.10929168972741,16.203974169897727,-1.7131070743891081,3.6906200590630305,1.4835791030266667,0.17812946533309468,0.00033796885610097013,0.00046327696430619245,0.00035201999731477787,0.0007875914241034653,0.00014372543767434098,40,68,106319,0.25,signal,0.0,0.0,0.8216132521629333,2.344938278198242,0.04836220666766167,0.07846766710281372,0.8216132521629333
1000,0.3443569242954254,-7.471932541452302,8.312969044386728,5.587187604013968,0.9954622082541043,1.9780734307876053,0.7951586343769551,0.17939093257770358,0.0003399839755692771,0.0004677783723113588,0.0003537425557377213,0.0007920002206932942,0.00017098313535655058,40,68,106319,0.25,signal,0.0,0.0,4.768065452575684,1.326550841331482,0.0496777780354023,0.11848673224449158,4.768065452575684
0,0.0,-16.252616823616705,74.17037443600401,42.195067149618474,-10.830517741174376,29.644441735591176,12.107424627757725,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,106319,0.5,signal,0.0,0.0,,,,,
10,0.010289322584867477,-16.247244211468576,74.07867576382843,42.14290034232646,-10.833742393025425,29.666461011855866,12.11641777156898,0.17335832499452855,0.0003323646125254163,0.0004448958890250009,0.0003485209281790518,0.0007727617735407709,2.330460220237636e-06,63,45,106319,0.5,signal,0.0,0.0,14.935843467712402,81.42254638671875,0.04512885585427284,9.237225458491594e-05,14.935843467712402
50,0.03927743434906006,-15.908369458355613,68.51816680433194,38.97956119625742,-10.39235829232258,26.79953948032138,10.945505643543461,0.17364175408109497,0.0003328897132725326,0.0004455286290535846,0.00034913617629806176,0.0007733790403298095,1.6768600857721555e-05,63,45,106319,0.5,signal,0.0,0.0,1.1878572702407837,12.105086326599121,0.042300231754779816,0.0014701045583933592,1.1878572702407837
