iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-17.735472002074985,88.33038214855918,59.367286653315674,-10.857478865965707,30.306551153446964,12.182821655035813,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,106319,0.25,angular,0.0,0.0,,,,,
10,0.038378216326236725,-17.915209475256454,92.06273158702717,61.87581716811867,-11.26047275254769,33.253388457681275,13.367410199674945,0.17292105367629218,0.0003321722174810834,0.0004426521967368397,0.0003488826383826834,0.0007711671856985293,1.8138537370271546e-05,40,68,106319,0.25,angular,0.0,0.0,20.134464263916016,84.7198715209961,0.044024329632520676,0.0012000997085124254,0.044024329632520676
50,0.17841093242168427,-18.23289886851885,99.04961595708404,66.57173670476365,-12.086764081259634,40.22212751983235,16.168748587695777,0.17160493877797817,0.00033206308860140606,0.00043447252459835893,0.0003510379063613002,0.0007658251297854277,7.391396142411709e-05,40,68,106319,0.25,angular,0.0,0.0,1.8608554601669312,14.161331176757812,0.039541393518447876,0.03064623475074768,0.039541393518447876
100,0.34779614210128784,-18.28137775458848,100.1614688131979,67.3190185076908,-12.442623493597173,43.65670757906281,17.549403090733417,0.170661161945751,0.0003332363943134935,0.00042694202329195135,0.0003543890793966868,0.0007616710625882052,0.00013255067661657662,40,68,106319,0.25,angular,0.0,0.0,8.002477645874023,53.14324951171875,0.03889594227075577,0.1187223345041275,0.03889594227075577
200,0.6038188338279724,-18.05255413056623,95.02072116597249,63.8638965919733,-12.49514379081937,44.18786408449591,17.762920786753654,0.16992616073437014,0.0003406355780192267,0.00042465440529157423,0.00036243788925957327,0.0007645289945007215,0.00021699535816782292,40,68,106319,0.25,angular,0.0,0.0,787.4213256835938,136.86471557617188,0.036466702818870544,0.36222609877586365,0.036466702818870544
500,0.8391659259796143,-22.081837245720436,240.29605100260417,161.50416419050964,-16.971383354890442,123.85882791080148,49.789565404489906,0.17129847574160498,0.0003529224577215353,0.0004370770720156659,0.0003740601143841822,0.0007805808522327818,0.0002889983764797013,40,68,106319,0.25,angular,0.0,0.0,8.774538040161133,21.581321716308594,0.035599905997514725,0.7037606239318848,0.035599905997514725
1000,1.018911600112915,-22.02410684929398,237.12295260424372,159.37150906537028,-17.01813794976524,125.1994512623247,50.32847777084559,0.17593540836854218,0.0003667128356239087,0.0004550509540882181,0.0003871706654931316,0.0008012416768726451,0.0003396362458488519,40,68,106319,0.25,angular,0.0,0.0,34.811378479003906,47.35264587402344,0.03478221595287323,1.0376355648040771,0.03478221595287323
0,0.0,-16.252616823616705,74.17037443600401,42.195067149618474,-10.830517741174376,29.644441735591176,12.107424627757725,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,106319,0.5,angular,0.0,0.0,,,,,
10,0.03827314451336861,-16.455367875400718,77.71512979130654,44.21165654104744,-11.234121763587591,32.531469263315955,13.286548475052955,0.17292333990691255,0.0003321730113601412,0.00044265967757008715,0.00034888232066689344,0.0007711719029501235,1.809016431010127e-05,63,45,106319,0.5,angular,0.0,0.0,14.900779724121094,81.3091049194336,0.044576678425073624,0.0011934589128941298,0.044576678425073624
50,0.1772848218679428,-16.82977211804395,84.71220785682635,48.1922509639659,-12.062242879931041,39.36550163168317,16.07771359604499,0.17161664595125067,0.00033206405270604805,0.00043452758275123397,0.00035102562527881655,0.000765860465008753,7.357618311411575e-05,63,45,106319,0.5,angular,0.0,0.0,1.3742424249649048,14.039266586303711,0.04045546054840088,0.03026275336742401,0.04045546054840088
100,0.34465551376342773,-16.91903866091804,86.47143281401219,49.19306315837903,-12.423271646785226,42.77782176885564,17.471378190409517,0.1706837196031757,0.00033321565554859765,0.0004270697118561146,0.00035433928693466094,0.0007617310128675442,0.00013164790661322883,63,45,106319,0.5,angular,0.0,0.0,5.9270172119140625,53.215736389160156,0.03966553509235382,0.11663249135017395,0.03966553509235382
200,0.6037672758102417,-16.716553302194093,82.53233253266431,46.95213337820157,-12.471077064626641,43.251304274650096,17.664758582005344,0.1699807541389283,0.00034080791775584435,0.0004248707997155239,0.00036260161210955,0.0007647608840684261,0.00021767235572780184,63,45,106319,0.5,angular,0.0,0.0,563.0570068359375,226.639892578125,0.03724430128931999,0.3621353507041931,0.03724430128931999
500,0.8420037031173706,-20.77895575324506,210.31215062184796,119.64528135861534,-16.942499195340122,121.09924110136308,49.459522536836694,0.17169271521767765,0.0003541405976134039,0.0004386824057595571,0.00037520344741356475,0.0007824147813377313,0.0002930203730597648,63,45,106319,0.5,angular,0.0,0.0,5.31121301651001,16.5893497467041,0.03652453422546387,0.7084500789642334,0.03652453422546387
1000,1.0307767391204834,-20.70033825370566,206.53925895898482,117.49890663321732,-17.05057599960061,124.15067981170917,50.70579543079985,0.17717101736957522,0.00037004554271315154,0.0004593535091072943,0.00039021978270794005,0.0008063307931983145,0.00034989468577206387,63,45,106319,0.5,angular,0.0,0.0,25.83184242248535,40.554771423339844,0.035735517740249634,1.0617387294769287,0.035735517740249634
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,nan,nan,nan,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,108,0,106319,1.0,angular,0.0,0.0,,,,,
