iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-17.735472002074985,88.33038214855918,59.367286653315674,-10.857478865965707,30.306551153446964,12.182821655035813,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,106319,0.25,combined,0.01,0.0,,,,,
10,0.010381469503045082,-17.736656439226884,88.35447549040315,59.38347990751536,-10.871600481802766,30.405256998423205,12.22250006316502,0.17334773110274582,0.00033235391057219677,0.0004448594574002482,0.0003485147824970429,0.0007727342200595339,2.348469826403003e-06,40,68,106319,0.25,combined,0.01,0.0,20.18292999267578,84.8001708984375,0.04458480700850487,9.361309639643878e-05,20.227514266967773
50,0.03776327148079872,-17.45290081741897,82.76619518977648,55.62756908230908,-10.50152694186256,27.921665799041794,11.224130156510732,0.1735714543737208,0.0003328356931449932,0.0004452990879695492,0.00034910962950610155,0.0007732251208133677,1.5424428878610136e-05,40,68,106319,0.25,combined,0.01,0.0,1.61870276927948,12.31777286529541,0.04148757457733154,0.0013595541240647435,1.634889841079712
100,0.0614827424287796,-17.155727211475437,77.29219311513368,51.94846521791508,-9.956542524057365,24.62877906294164,9.900434443559956,0.17408773928953544,0.0003333089665504384,0.0004475637199859529,0.00034919178528583484,0.000774957612687189,2.851188369710398e-05,40,68,106319,0.25,combined,0.01,0.0,7.861792087554932,51.24530792236328,0.04399995505809784,0.003745995694771409,7.905792236328125
200,0.13835154473781586,-16.64653265135585,68.74105201087416,46.201200994652496,-7.382124235145243,13.614479864175784,5.4728358654714535,0.17559061284016897,0.0003348744535444568,0.000453186746770597,0.00035017591419443444,0.0007792258493364996,7.620867073716852e-05,40,68,106319,0.25,combined,0.01,0.0,11.795343399047852,2.7443013191223145,0.046081673353910446,0.018725432455539703,11.841424942016602
500,0.28032124042510986,-12.096282278902928,24.10966283880734,16.204223621029755,-1.7132089434013404,3.6907066280260126,1.4836139025731916,0.17812945293392635,0.000337968969810435,0.00046327666299073354,0.0003520202499272449,0.0007875912343472318,0.00014372562433292318,40,68,106319,0.25,combined,0.01,0.0,0.8215975165367126,2.3448963165283203,0.04836205020546913,0.07846724987030029,0.8298134803771973
1000,0.3443548381328583,-7.472031686896331,8.313158824006157,5.587315155834684,0.9953373854183357,1.978130284441883,0.7951814887732537,0.17939088303651227,0.0003399841379618025,0.0004677777459435196,0.0003537429666017153,0.0007919998154150197,0.00017098283447833994,40,68,106319,0.25,combined,0.01,0.0,4.768626689910889,1.3266322612762451,0.04967746511101723,0.11848528683185577,4.816312789916992
0,0.0,-17.735472002074985,88.33038214855918,59.367286653315674,-10.857478865965707,30.306551153446964,12.182821655035813,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,106319,0.25,combined,0.1,0.0,,,,,
10,0.010388893075287342,-17.73671149874152,88.35559564863145,59.3842327714,-10.871700208727404,30.40595520153522,12.22278073132649,0.17334761739586738,0.0003323537627492234,0.00044485830985383087,0.00034851496207731405,0.0007727331450728818,2.355550022339267e-06,40,68,106319,0.25,combined,0.1,0.0,20.182950973510742,84.80025482177734,0.044584475457668304,9.375420631840825e-05,20.628795623779297
50,0.037772856652736664,-17.453065779637324,82.76933903687524,55.6296820774911,-10.50184840738082,27.923732642012645,11.224960999293714,0.17357112746330908,0.0003328355520975344,0.0004452963393584953,0.0003491102704413798,0.0007732229334975769,1.543498587467112e-05,40,68,106319,0.25,combined,0.1,0.0,1.618729591369629,12.318047523498535,0.04148693010210991,0.001360320020467043,1.7806024551391602
