subject,sampling_ratio,objective,lambda_shape,lambda_z,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,delta_PSNR_holdout_vs_z0,delta_FA_MAE_vs_z0,delta_MD_MAE_vs_z0,signal_success,dti_success,overall_status,FA_MAE_z0,MD_MAE_z0,PSNR_holdout_z0,PSNR_obs_z0,n_observed_vols,n_holdout_vols,bestFA_iteration,bestFA_FA_MAE,bestFA_MD_MAE,bestFA_PSNR_holdout,bestFA_PSNR_obs,bestFA_z_norm,bestFA_mean_delta_D,bestFA_delta_PSNR_holdout_vs_z0,bestFA_delta_FA_MAE_vs_z0,bestFA_delta_MD_MAE_vs_z0,bestFA_signal_success,bestFA_dti_success,bestFA_overall_status
106319,0.5,combined,10.0,0.0,0.34700262546539307,-5.567761146159365,1.1457608846363272,6.334974976422222,1.8806821974302437,0.1794763936270367,0.00034045364804404887,0.0004668660581968076,0.00035472885052843784,0.0007914495990185518,0.00017265203529260835,11.976278625810703,0.006069139617742997,8.164767122234128e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,63,45,10,0.17326300639358874,0.00033232284680063837,-10.932571276143836,-16.308628562208906,0.015320202335715294,6.282654707252813e-06,-0.10205353496946046,-0.00014424761570497324,3.3965878823622765e-08,False,True,MIXED
106319,0.5,combined,10.0,0.001,0.3470019996166229,-5.567794078041999,1.1457422252706815,6.335023013745304,1.880690277756758,0.1794763865473227,0.0003404536353595127,0.00046686604398079424,0.0003547288347770655,0.0007914495795691461,0.00017265190435464533,11.976259966445056,0.006069132538028987,8.164754437697981e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,63,45,10,0.17326300640028622,0.0003323228467577097,-10.932571418994119,-16.308628594836186,0.01532020140439272,6.282654106266714e-06,-0.10205367781974317,-0.00014424760900749733,3.3965835894963006e-08,False,True,MIXED
106319,0.5,combined,10.0,0.01,0.34699639678001404,-5.567980196434798,1.1456587715682405,6.335294509151244,1.880726417307535,0.1794763414589183,0.00034045352963936644,0.00046686591627701033,0.00035472872056918517,0.0007914494019806614,0.00017265091305562248,11.976176512742615,0.006069087449624588,8.164648717551694e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,63,45,10,0.17326300643984877,0.0003323228467210393,-10.93257011899386,-16.30862663434568,0.0153201874345541,6.282649845509056e-06,-0.10205237781948462,-0.00014424756944494965,3.396579922453503e-08,False,True,MIXED
106319,0.5,combined,10.0,0.1,0.34693893790245056,-5.5699886346547665,1.1447420171846618,6.338225006956844,1.8811234626878872,0.17947586300305354,0.00034045239013854916,0.0004668645078875581,0.0003547275014579478,0.0007914474744746648,0.00017264015896037413,11.975259758359037,0.0060686089937598275,8.163509216734422e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,63,45,10,0.17326300720203952,0.00033232284710238094,-10.932569337255964,-16.308626299851756,0.015320049598813057,6.282602578875047e-06,-0.10205159608158887,-0.0001442468072541947,3.3966180566194666e-08,False,True,MIXED
120717,0.5,combined,10.0,0.0,0.4542742669582367,-11.102642309946942,-2.491251656916657,17.07775304360426,2.945663077096994,0.18317521325241207,0.00032315434703926725,0.0004694535364432944,0.000335648491264869,0.0007763062593306875,0.00022360526977312114,17.780465434504443,0.008781810023679615,1.0597262184205709e-05,True,False,FAIL,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,63,45,0,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
120717,0.5,combined,10.0,0.001,0.4542727768421173,-11.102632090305013,-2.4912484586900043,17.077712856974454,2.9456609078558254,0.18317520773632578,0.0003231543240779771,0.00046945379610213814,0.00033564835619220867,0.0007763064426436968,0.00022360483389465525,17.780468632731093,0.008781804507593333,1.0597239222915559e-05,True,False,FAIL,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,63,45,0,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
120717,0.5,combined,10.0,0.01,0.4542681574821472,-11.102683864972816,-2.4913407766865374,17.077916451129422,2.94572352444782,0.1831751754217907,0.00032315420678678797,0.00046945392127229076,0.0003356481362863787,0.0007763064286628529,0.00022360354656744723,17.78037631473456,0.008781772193058257,1.0597121931726428e-05,True,False,FAIL,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,63,45,0,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
120717,0.5,combined,10.0,0.1,0.4542107880115509,-11.103148039260166,-2.4922715067287973,17.079741837743732,2.9463548857240065,0.18317481452896783,0.00032315279882067654,0.0004694572641252111,0.00033564479134379286,0.0007763077085180496,0.00022358700437288454,17.7794455846923,0.008781411300235381,1.0595713965614998e-05,True,False,FAIL,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,63,45,0,0.17439340322873245,0.00031255708485506154,-20.2717170914211,-24.211114565195476,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
121618,0.5,combined,10.0,0.0,0.39091113209724426,-17.9650180705015,-11.779911150649042,19.013567592025566,3.8752352400090757,0.18246428896872335,0.0003267184315310604,0.00045210766664588735,0.00033829494756779723,0.0007624950320659204,0.000204449076749801,10.51666571230255,0.007735438447202647,1.7414216533136195e-05,True,False,FAIL,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,63,45,0,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
121618,0.5,combined,10.0,0.001,0.39091089367866516,-17.96501825987136,-11.779912172252677,19.013568421093602,3.875236151592123,0.18246428943987708,0.00032671842300880256,0.0004521076877652783,0.0003382949287329937,0.0007624950430666729,0.00020444908366729317,10.516664690698915,0.007735438918356374,1.741420801087837e-05,True,False,FAIL,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,63,45,0,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
121618,0.5,combined,10.0,0.01,0.3909067213535309,-17.965034877174084,-11.779966802138906,19.01364117238102,3.8752848984794093,0.18246424783134926,0.00032671835592414225,0.00045210757728899703,0.0003382948587687532,0.000762494901986701,0.00020444843049011966,10.516610060812686,0.007735397309828557,1.7414140926218062e-05,True,False,FAIL,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,63,45,0,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
121618,0.5,combined,10.0,0.1,0.39086318016052246,-17.9652295056158,-11.780554745554973,19.014493285043972,3.8758095660886784,0.182463794761476,0.0003267175200827957,0.0004521063472828801,0.00033829396922445583,0.0007624932872885345,0.00020444109684823023,10.51602211739662,0.007734944239955299,1.7413305084871514e-05,True,False,FAIL,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,63,45,0,0.1747288505215207,0.0003093042149979242,-22.296576862951593,-28.06488409583863,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
116726,0.5,combined,10.0,0.0,0.5740593671798706,-26.681612442386854,-23.29739339800714,412.38065419781896,169.68667008436222,0.15287145209373706,0.0003736946128118514,0.00045547574894035976,0.0003893797169566781,0.000810280195882063,0.00015271075270480676,0.02100134318480329,-0.0038093332978031413,-2.127439979243836e-06,False,True,MIXED,0.1566807853915402,0.0003758220527910952,-23.318394741191945,-27.558568981992554,63,45,1000,0.15287145209373706,0.0003736946128118514,-23.29739339800714,-26.681612442386854,0.5740593671798706,0.00015271075270480676,0.02100134318480329,-0.0038093332978031413,-2.127439979243836e-06,False,True,MIXED
