iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,n_observed_vols,n_holdout_vols,subject,lambda_dis,lambda_z,sampling_ratio
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0009353858655411461,0.0007801224598863101,0.000718005236156766,63,45,106319,0.0,0.0,0.5
10,0.010289322584867477,-16.247244211468576,74.07867576382843,-10.833742393025425,29.666461011855866,0.17335832499452855,0.0003323646125254163,0.0004448958890250009,0.0003485209281790518,2.330460220237636e-06,0.002004840243861175,0.0009352228384970594,0.0007800761278784674,0.0007179935139666262,63,45,106319,0.0,0.0,0.5
50,0.03927743434906006,-15.908369458355613,68.51816680433194,-10.39235829232258,26.79953948032138,0.17364175408109497,0.0003328897132725326,0.0004455286290535846,0.00034913617629806176,1.6768600857721555e-05,0.013981672408005942,0.0009339766877681198,0.0007797442504871339,0.0007178603995279759,63,45,106319,0.0,0.0,0.5
100,0.06483528017997742,-15.611838454461429,63.99597124050508,-9.816053697955196,23.46912357931576,0.17416812813259544,0.0003334002287997384,0.0004477752278899869,0.0003492832976398973,3.143176548633394e-05,0.03195424680113858,0.0009347354273566375,0.0007798096807934618,0.0007175978682033422,63,45,106319,0.0,0.0,0.5
200,0.15110057592391968,-14.815520641381465,53.2746804286406,-6.895978884693172,11.980898542870614,0.17582296277486997,0.00033521793251098565,0.000453634045511847,0.000350600202752071,8.311858078266878e-05,0.15015033631678265,0.0009329449170965727,0.0007785034674700509,0.0007160210738297367,63,45,106319,0.0,0.0,0.5
500,0.28490304946899414,-9.855813990990296,17.003964445776013,-1.1997663296126684,3.2275140013421724,0.17834793947805586,0.0003381867573127896,0.0004636248459642407,0.00035230273738261686,0.00014692091389000172,0.43241295198787755,0.0009328959469671677,0.0007767605931855878,0.0007130210312566105,63,45,106319,0.0,0.0,0.5
1000,0.3446570634841919,-5.598309149673094,6.379691879649612,1.2451844096637696,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.00017192520470759996,0.5439163541726234,0.0009309876049755086,0.0007752827819611496,0.0007114341395562129,63,45,106319,0.0,0.0,0.5
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0009353858655411461,0.0007801224598863101,0.000718005236156766,63,45,106319,0.01,0.0,0.5
10,0.010289319790899754,-16.24724482639412,74.0786862527651,-10.833743132003432,29.666466059781886,0.17335832502998266,0.00033236461250112364,0.0004448958897855392,0.0003485209279290009,2.3304544418826636e-06,0.002004834307554806,0.0009352228400611796,0.0007800761286535365,0.0007179935142174637,63,45,106319,0.01,0.0,0.5
50,0.039277397096157074,-15.908368265357629,68.51814798253538,-10.39235821309677,26.799538991433,0.17364175613746174,0.00033288971366302023,0.000445528640162748,0.00034913617422669297,1.676856496735429e-05,0.01398165346569341,0.0009339767063737372,0.0007797442570758625,0.0007178604015791897,63,45,106319,0.01,0.0,0.5
100,0.06483518332242966,-15.611835049009851,63.99592105909485,-9.816050907373334,23.46910849911275,0.17416812657463818,0.0003334002253206929,0.00044777522016321364,0.00034928329521546653,3.143169344625626e-05,0.03195415911874286,0.0009347354359582124,0.0007798096861141706,0.0007175978731351086,63,45,106319,0.01,0.0,0.5
200,0.1511000543832779,-14.815520650216419,53.27468053701849,-6.896018655789222,11.981008260048323,0.17582294585544447,0.00033521794607931625,0.00045363392329017435,0.00035060025132667075,8.311831801732311e-05,0.15014811550678475,0.0009329447212627632,0.000778503424733455,0.0007160210795787716,63,45,106319,0.01,0.0,0.5
500,0.2849012613296509,-9.856271908525706,17.005757428263134,-1.2002569057056973,3.227878599720668,0.17834783370016905,0.00033818709223057717,0.0004636236697888096,0.0003523035637128138,0.00014692049686073654,0.4323630578965865,0.0009328926168635934,0.0007767595710966058,0.0007130206946116111,63,45,106319,0.01,0.0,0.5
1000,0.34466230869293213,-5.59832518666707,6.379715437689929,1.244369685793158,1.8384614740410037,0.17950871494103687,0.00034021130164978223,0.00046761556900281324,0.00035416418491560276,0.00017192985379343385,0.5436600965892827,0.0009309694044568207,0.000775276933555256,0.0007114319108797851,63,45,106319,0.01,0.0,0.5
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0009353858655411461,0.0007801224598863101,0.000718005236156766,63,45,106319,0.1,0.0,0.5
10,0.010289301164448261,-16.247242399703797,74.07864486011833,-10.83374142585698,29.666454405172384,0.1733583251733702,0.00033236461360282695,0.0004448958954089739,0.00034852092740829356,2.3304176257619515e-06,0.0020048017516154128,0.0009352228481381851,0.0007800761303024586,0.0007179935138056497,63,45,106319,0.1,0.0,0.5
50,0.039277128875255585,-15.908357730411335,68.51798177408382,-10.392340334537021,26.799428666252066,0.1736417709755652,0.00033288970804382594,0.0004455287359617303,0.0003491361397944262,1.676824488924095e-05,0.013981507927373522,0.0009339768445736656,0.0007797442940669833,0.0007178604031447773,63,45,106319,0.1,0.0,0.5
100,0.06483440101146698,-15.611841242908932,63.99601233001256,-9.816070834826084,23.469216186555986,0.1741681148822623,0.0003334002050207721,0.00044777518257495795,0.00034928327402244854,3.143110186010316e-05,0.03195345769693862,0.0009347354923680035,0.0007798097137119138,0.000717597893132816,63,45,106319,0.1,0.0,0.5
200,0.15109533071517944,-14.815533711505768,53.27484075942354,-6.896394575626808,11.982045365928881,0.1758227788194905,0.00033521802853398895,0.00045363282070284735,0.0003506006334361112,8.311588650880325e-05,0.15012833181958873,0.0009329429400060215,0.0007785029876734168,0.0007160210780851755,63,45,106319,0.1,0.0,0.5
500,0.284983366727829,-9.85434601639039,16.998217845076606,-1.2004477106358873,3.228020417935325,0.17834841400873605,0.0003381930373456376,0.00046361874739349465,0.0003523136314874639,0.00014695579482678264,0.43209001854080076,0.0009328597599235818,0.0007767482560248989,0.0007130153794815166,63,45,106319,0.1,0.0,0.5
1000,0.34461861848831177,-5.606341091457239,6.391501545341926,1.2354983298295643,1.8422207470894936,0.1795045097819642,0.0003402232484546223,0.00046757297677959826,0.000354193457036505,0.00017191357502541454,0.541756089494824,0.0009308537057601803,0.000775241631941481,0.0007114206093998795,63,45,106319,0.1,0.0,0.5
0,0.0,-24.211114565195476,349.36384172029904,-20.2717170914211,176.69717839682042,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0,0.0,0.000946077168327529,0.0007803006750012899,0.0007168438831373253,63,45,120717,0.0,0.0,0.5
10,0.018791137263178825,-24.216058126685084,349.7617479927173,-20.253298615681867,175.94939056962406,0.17464651358592645,0.00031275625955435037,0.00044271387022877843,0.00032636636362085757,9.230542174155557e-06,0.00790806415484147,0.0009464800339461163,0.0007805298076929888,0.0007169480586358878,63,45,120717,0.0,0.0,0.5
