iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,mean_FA_pred,n_observed_vols,n_holdout_vols,subject,sampling_ratio,lambda_dis,lambda_z,loss_signal,loss_dis,loss_z,loss_total
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0009353858655411461,0.0007801224598863101,0.000718005236156766,0.12456605583429337,63,45,106319,0.5,0.0,0.0,,,,
10,0.010289322584867477,-16.247244211468576,74.07867576382843,-10.833742393025425,29.666461011855866,0.17335832499452855,0.0003323646125254163,0.0004448958890250009,0.0003485209281790518,2.330460220237636e-06,0.002004840243861175,0.0009352228384970594,0.0007800761278784674,0.0007179935139666262,0.12464076280593872,63,45,106319,0.5,0.0,0.0,14.935843467712402,6.898550782352686e-05,9.237225458491594e-05,14.935843467712402
50,0.03927743434906006,-15.908369458355613,68.51816680433194,-10.39235829232258,26.79953948032138,0.17364175408109497,0.0003328897132725326,0.0004455286290535846,0.00034913617629806176,1.6768600857721555e-05,0.013981672408005942,0.0009339766877681198,0.0007797442504871339,0.0007178603995279759,0.12420886754989624,63,45,106319,0.5,0.0,0.0,1.1878572702407837,0.0013090742286294699,0.0014701045583933592,1.1878572702407837
100,0.06483528017997742,-15.611838454461429,63.99597124050508,-9.816053697955196,23.46912357931576,0.17416812813259544,0.0003334002287997384,0.0004477752278899869,0.0003492832976398973,3.143176548633394e-05,0.03195424680113858,0.0009347354273566375,0.0007798096807934618,0.0007175978682033422,0.12383091449737549,63,45,106319,0.5,0.0,0.0,5.7948384284973145,0.005274007096886635,0.004170163534581661,5.7948384284973145
200,0.15110057592391968,-14.815520641381465,53.2746804286406,-6.895978884693172,11.980898542870614,0.17582296277486997,0.00033521793251098565,0.000453634045511847,0.000350600202752071,8.311858078266878e-05,0.15015033631678265,0.0009329449170965727,0.0007785034674700509,0.0007160210738297367,0.12209789454936981,63,45,106319,0.5,0.0,0.0,4.813185691833496,0.08597221970558167,0.022392332553863525,4.813185691833496
500,0.28490304946899414,-9.855813990990296,17.003964445776013,-1.1997663296126684,3.2275140013421724,0.17834793947805586,0.0003381867573127896,0.0004636248459642407,0.00035230273738261686,0.00014692091389000172,0.43241295198787755,0.0009328959469671677,0.0007767605931855878,0.0007130210312566105,0.12090549618005753,63,45,106319,0.5,0.0,0.0,0.5662009716033936,0.6171562671661377,0.08107082545757294,0.5662009716033936
1000,0.3446570634841919,-5.598309149673094,6.379691879649612,1.2451844096637696,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.00017192520470759996,0.5439163541726234,0.0009309876049755086,0.0007752827819611496,0.0007114341395562129,0.12047380208969116,63,45,106319,0.5,0.0,0.0,3.3053691387176514,0.34527239203453064,0.1187000572681427,3.3053691387176514
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0009353858655411461,0.0007801224598863101,0.000718005236156766,0.12456605583429337,63,45,106319,0.5,0.01,0.0,,,,
10,0.010289319790899754,-16.247244813346025,74.07868603020047,-10.833743108007942,29.666465895869734,0.17335832542967017,0.0003323646126415515,0.0004448958903807455,0.0003485209281480868,2.33045519817664e-06,0.002004835113527519,0.0009352228394624167,0.0007800761285045395,0.0007179935143383123,0.12464077025651932,63,45,106319,0.5,0.01,0.0,14.935843467712402,6.898586434544995e-05,9.237221092917025e-05,14.935844421386719
50,0.03927740827202797,-15.908368159785729,68.51814631693952,-10.392358155717227,26.799538637354058,0.17364175510462201,0.00033288971297315854,0.0004455286362253302,0.0003491361737181686,1.676856806576875e-05,0.013981654437045797,0.0009339767035665237,0.0007797442554033464,0.0007178604008381389,0.12420887500047684,63,45,106319,0.5,0.01,0.0,1.1878573894500732,0.001309063984081149,0.0014701024629175663,1.1878705024719238
